City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
153,Tura,IN,73.92,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
154,Cardenas,CU,77.76,overcast clouds,23.0375,-81.2047,Casa JF 1906
155,Kuala Terengganu,MY,76.95,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
157,Coahuayana,MX,77.31,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
158,Padang,ID,74.86,overcast clouds,-0.9492,100.3543,Mercure Padang
159,Aktau,KZ,66.78,broken clouds,43.65,51.2,Silk Way Hotel
161,Arraial Do Cabo,BR,66.43,few clouds,-22.9661,-42.0278,Pousada Porto Praia
162,Paracuru,BR,79.11,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
165,Baillif,GP,73.63,light rain,16.0202,-61.7463,Hôtel Saint-Georges
168,Puerto Ayora,EC,71.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
169,Kulu,TR,73.09,clear sky,39.0951,33.0799,Kapadokya Motel
170,Maturin,VE,80.58,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
172,Cordoba,AR,79.75,clear sky,-31.4135,-64.1811,Hotel Sussex
175,Naliya,IN,79.7,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
177,Baghdad,IQ,82.31,clear sky,33.3406,44.4009,Baghdad Hotel
180,Calabozo,VE,77.59,overcast clouds,8.9242,-67.4293,Hotel Giardini
181,Sampit,ID,75.42,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
182,Yarada,IN,82.42,overcast clouds,17.65,83.2667,Yarada Jungle Beach Resorts
184,Nieuw Nickerie,SR,80.35,scattered clouds,5.95,-56.9833,Ishwardat Inn
187,Tharad,IN,78.06,clear sky,24.3961,71.6267,Suresh Parmar
188,Corn Island,NI,83.23,overcast clouds,12.1694,-83.0418,Big Fish Guest House
194,Westport,US,71.42,clear sky,41.1415,-73.3579,The Westport Inn
195,Kirovskaya,RU,73.96,overcast clouds,46.9748,40.0402,"Kaskad, Baza Otdykha Oao ""Vyatskiye Resursy"""
196,Weligama,LK,78.87,overcast clouds,5.9667,80.4167,Weligama Bay Resort
