City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Coahuayana,MX,18.7333,-103.6833,77.31,94,100,2.33,overcast clouds
158,Padang,ID,-0.9492,100.3543,74.86,95,100,2.19,overcast clouds
159,Aktau,KZ,43.65,51.2,66.78,56,60,6.82,broken clouds
160,Hereford,GB,52.0568,-2.7148,51.49,81,33,4.41,scattered clouds
161,Arraial Do Cabo,BR,-22.9661,-42.0278,66.43,73,13,11.27,few clouds
162,Paracuru,BR,-3.41,-39.0306,79.11,81,51,14.25,broken clouds
163,Chuy,UY,-33.6971,-53.4616,58.59,76,80,13.56,broken clouds
164,Chapais,CA,49.7834,-74.8492,55.18,56,100,3.71,overcast clouds
165,Baillif,GP,16.0202,-61.7463,73.63,85,100,19.06,light rain
166,Dukhovnitskoye,RU,52.4828,48.2137,57.04,75,83,3.02,broken clouds
167,Parabel,RU,58.6978,81.4825,45.97,78,99,5.77,overcast clouds
168,Puerto Ayora,EC,-0.7393,-90.3518,71.56,87,34,3.0,scattered clouds
169,Kulu,TR,39.0951,33.0799,73.09,32,0,5.73,clear sky
170,Maturin,VE,9.75,-63.1767,80.58,72,93,2.91,overcast clouds
171,Huayucachi,PE,-12.1333,-75.2333,52.29,77,76,1.63,broken clouds
172,Cordoba,AR,-31.4135,-64.1811,79.75,23,0,9.22,clear sky
173,Gardone Val Trompia,IT,45.6942,10.187,55.56,72,0,6.42,clear sky
174,Imuris,MX,30.7833,-110.8667,91.04,23,0,10.27,clear sky
175,Naliya,IN,23.2667,68.8333,79.7,79,100,9.42,overcast clouds
176,Wagar,SD,16.1525,36.2032,80.01,52,100,11.88,overcast clouds
177,Baghdad,IQ,33.3406,44.4009,82.31,26,0,5.75,clear sky
178,Yulara,AU,-25.2406,130.9889,62.69,27,0,11.59,clear sky
179,Camana,PE,-16.6228,-72.7111,61.54,83,55,8.41,broken clouds
180,Calabozo,VE,8.9242,-67.4293,77.59,86,91,4.94,overcast clouds
181,Sampit,ID,-2.5333,112.95,75.42,96,100,1.97,light rain
182,Yarada,IN,17.65,83.2667,82.42,74,98,4.92,overcast clouds
183,Geraldton,AU,-28.7667,114.6,46.81,93,1,5.75,clear sky
184,Nieuw Nickerie,SR,5.95,-56.9833,80.35,84,40,7.7,scattered clouds
185,Chunskiy,RU,56.0815,99.6342,37.45,93,26,0.4,scattered clouds
186,Hofn,IS,64.2539,-15.2082,45.36,83,99,7.25,overcast clouds
187,Tharad,IN,24.3961,71.6267,78.06,77,0,6.64,clear sky
188,Corn Island,NI,12.1694,-83.0418,83.23,75,100,7.56,overcast clouds
189,Ancud,CL,-41.8697,-73.8203,45.23,63,29,3.58,scattered clouds
190,Leshukonskoye,RU,64.8989,45.7622,45.16,98,100,5.3,overcast clouds
191,Radom,PL,51.4025,21.1471,54.14,92,100,1.99,overcast clouds
192,Victoria,HK,22.2855,114.1577,87.19,82,88,5.99,overcast clouds
193,Karasjok,NO,69.4719,25.5112,42.84,94,100,16.33,overcast clouds
194,Westport,US,41.1415,-73.3579,71.42,72,0,5.75,clear sky
195,Kirovskaya,RU,46.9748,40.0402,73.96,69,90,9.98,overcast clouds
196,Weligama,LK,5.9667,80.4167,78.87,82,100,9.86,overcast clouds
197,Puerto Escondido,MX,15.85,-97.0667,74.23,60,100,2.3,overcast clouds
198,Mpika,ZM,-11.8343,31.4529,62.44,47,74,6.98,broken clouds
199,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,32,0,1.14,clear sky
200,Manokwari,ID,-0.8667,134.0833,78.12,72,89,4.99,overcast clouds
201,Rocha,UY,-34.4833,-54.3333,58.59,73,100,12.93,overcast clouds
202,Vila Velha,BR,-20.3297,-40.2925,66.15,80,75,11.5,broken clouds
203,Plettenberg Bay,ZA,-34.0527,23.3716,55.85,90,100,4.5,light rain
204,Qaqortoq,GL,60.7167,-46.0333,47.43,88,100,7.67,overcast clouds
205,Neuquen,AR,-38.9516,-68.0591,57.09,38,0,12.66,clear sky
206,Erlenbach,DE,49.1725,9.2683,50.86,92,77,10.98,broken clouds
207,Soweto,ZA,-26.2678,27.8585,63.41,47,2,0.0,clear sky
208,Upernavik,GL,72.7868,-56.1549,36.39,72,88,20.78,overcast clouds
209,Paamiut,GL,61.994,-49.6678,46.63,94,100,5.75,overcast clouds
210,Sao Filipe,CV,14.8961,-24.4956,78.1,82,20,7.31,few clouds
211,Birao,CF,10.2849,22.7882,70.21,97,98,1.99,moderate rain
212,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,84.0,28,1,10.67,clear sky
213,Gimli,CA,50.6336,-96.9907,59.02,94,100,6.91,overcast clouds
214,San Patricio,US,28.017,-97.5169,91.49,54,31,13.69,scattered clouds
215,Tazovskiy,RU,67.4667,78.7,44.83,83,100,8.59,overcast clouds
216,Halifax,CA,44.6453,-63.5724,62.69,51,5,11.5,clear sky
217,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,85,20,3.44,few clouds
218,Lugovoy,KZ,42.9472,72.7644,61.99,29,99,2.1,overcast clouds
219,Taoudenni,ML,22.6783,-3.9836,94.42,16,2,11.5,clear sky
220,Ribeira Grande,PT,38.5167,-28.7,74.61,91,100,6.78,overcast clouds
221,Aden,YE,12.7794,45.0367,89.64,59,80,5.26,broken clouds
222,Puerto Carreno,CO,6.189,-67.4859,79.38,84,100,3.87,overcast clouds
223,San Andres,CO,12.5847,-81.7006,84.22,79,75,6.91,broken clouds
224,Channel-Port Aux Basques,CA,47.5702,-59.1367,57.06,69,90,28.14,overcast clouds
225,Zhumadian,CN,32.9794,114.0294,69.84,64,50,3.29,scattered clouds
226,Poronaysk,RU,49.2167,143.1167,49.48,96,100,9.15,overcast clouds
227,Santa Maria,BR,-29.6842,-53.8069,63.7,63,0,6.91,clear sky
228,Blythe,US,33.6103,-114.5964,99.05,15,0,14.97,clear sky
229,Touros,BR,-5.1989,-35.4608,77.04,77,27,12.71,scattered clouds
230,Magadan,RU,59.5667,150.8,47.82,43,6,0.81,clear sky
231,Carnarvon,AU,-24.8667,113.6333,64.11,79,2,16.4,clear sky
232,Ejido,VE,8.5514,-71.2375,69.78,92,100,3.36,overcast clouds
233,Talcahuano,CL,-36.7167,-73.1167,49.68,71,75,12.66,broken clouds
234,Horki,BY,54.2861,30.9842,45.88,75,85,6.82,overcast clouds
235,Eyl,SO,7.9803,49.8164,77.0,73,48,17.22,scattered clouds
236,Saint-Joseph,RE,-21.3667,55.6167,68.38,79,22,12.84,light rain
237,Saint Albans,GB,51.75,-0.3333,54.3,73,33,9.22,scattered clouds
238,Jiamusi,CN,46.8333,130.35,60.98,90,66,10.83,broken clouds
239,Peterhead,GB,57.5058,-1.7981,51.51,79,100,17.22,overcast clouds
240,Guarapari,BR,-20.6667,-40.4975,63.9,85,94,8.25,overcast clouds
241,Lengshuijiang,CN,27.6881,111.4294,76.64,61,7,1.7,clear sky
242,Bukama,CD,-9.2,25.85,80.82,38,78,1.45,broken clouds
243,Saint-Pierre,RE,-21.3393,55.4781,69.48,78,11,18.41,few clouds
244,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.2,57,44,14.03,scattered clouds
245,San Quintin,MX,30.4833,-115.95,72.1,67,0,16.02,clear sky
246,Bundaberg,AU,-24.85,152.35,72.21,84,0,1.01,clear sky
247,Katsuura,JP,35.1333,140.3,79.95,87,87,15.64,overcast clouds
248,Maldonado,UY,-34.6667,-54.9167,63.79,71,100,12.84,overcast clouds
249,Naron,ES,43.5167,-8.1528,68.04,80,100,10.04,overcast clouds
250,Wairoa,NZ,-39.0333,177.3667,59.07,58,11,3.76,few clouds
251,Raudeberg,NO,61.9875,5.1352,47.95,78,100,23.15,overcast clouds
252,Chase,CA,50.8165,-119.6857,63.48,33,70,2.66,broken clouds
253,Gari,RU,59.4307,62.3497,53.24,66,99,12.12,overcast clouds
254,West Wendover,US,40.7391,-114.0733,61.81,59,100,14.97,overcast clouds
255,Maragogi,BR,-9.0122,-35.2225,73.96,80,11,7.45,few clouds
256,Prince Rupert,CA,54.3161,-130.3201,55.49,85,0,10.36,clear sky
257,Isangel,VU,-19.55,169.2667,80.71,74,20,9.22,few clouds
258,Bambous Virieux,MU,-20.3428,57.7575,71.22,78,40,13.8,light rain
259,Baykit,RU,61.67,96.37,42.76,92,100,2.55,overcast clouds
260,Kasama,ZM,-10.2129,31.1808,65.01,44,60,4.34,broken clouds
261,Puerto Colombia,CO,10.9878,-74.9547,86.09,80,94,5.77,overcast clouds
262,Mahibadhoo,MV,3.7833,72.9667,81.05,71,12,5.53,few clouds
263,Port Augusta,AU,-32.5,137.7667,51.01,72,14,6.33,few clouds
264,Aklavik,CA,68.2191,-135.0107,57.2,58,75,9.22,broken clouds
265,Thunder Bay,CA,48.4001,-89.3168,60.71,100,100,8.05,mist
266,Lufilufi,WS,-13.8745,-171.5986,83.98,76,26,19.89,scattered clouds
267,Yuncheng,CN,35.0231,110.9928,70.7,76,58,0.89,broken clouds
268,Chumikan,RU,54.7183,135.315,49.8,83,100,20.33,light rain
269,Asau,RO,46.4333,26.4,54.52,98,100,2.62,overcast clouds
270,Kavaratti,IN,10.5669,72.642,80.38,79,100,11.36,overcast clouds
271,Berlevag,NO,70.8578,29.0864,44.6,93,100,24.16,light intensity drizzle
272,Tevaitoa,PF,-16.7833,-151.5,78.12,70,0,17.76,clear sky
273,Makakilo City,US,21.3469,-158.0858,84.52,54,0,10.36,clear sky
274,Nome,US,64.5011,-165.4064,46.17,94,100,36.22,light rain
275,Alwaye,IN,10.1167,76.35,76.95,94,40,2.3,mist
276,Redmond,US,47.674,-122.1215,70.09,57,100,5.99,overcast clouds
277,Kota Belud,MY,6.351,116.4305,78.76,80,100,3.11,overcast clouds
278,Senno,RU,59.5336,33.9167,49.26,93,90,9.28,overcast clouds
279,Phalombe,MW,-15.8064,35.6507,68.38,50,54,3.98,broken clouds
280,Juneau,US,58.3019,-134.4197,59.0,67,75,5.75,broken clouds
281,Berdigestyakh,RU,62.0989,126.6992,33.73,89,100,9.62,overcast clouds
282,Hasaki,JP,35.7333,140.8333,81.28,84,100,13.38,overcast clouds
283,Port Macquarie,AU,-31.4333,152.9167,66.88,44,59,8.21,broken clouds
284,Coihaique,CL,-45.5752,-72.0662,49.95,29,0,4.61,clear sky
285,Chardara,KZ,41.2547,67.9692,69.01,35,41,8.08,scattered clouds
286,Bosaso,SO,11.2842,49.1816,89.89,48,36,6.29,scattered clouds
287,Atar,MR,20.5169,-13.0499,88.23,23,21,10.92,few clouds
288,Pangkalanbuun,ID,-2.6833,111.6167,75.11,97,100,2.24,heavy intensity rain
289,Thinadhoo,MV,0.5333,72.9333,81.59,68,6,5.23,clear sky
290,Ayagoz,KZ,47.9714,80.4392,43.32,43,0,9.51,clear sky
291,De-Kastri,RU,51.4667,140.7833,55.58,91,100,7.83,overcast clouds
292,Swan Hill,AU,-35.3378,143.5544,49.89,81,96,11.99,overcast clouds
293,Onguday,RU,50.75,86.15,34.38,89,0,2.86,clear sky
294,Pyapon,MM,16.2833,95.6833,75.7,94,100,4.34,overcast clouds
295,Castelo Branco,PT,39.8222,-7.4909,78.01,48,69,5.17,broken clouds
296,Fort Nelson,CA,58.8053,-122.7002,65.79,30,40,6.91,scattered clouds
297,Gamba,GA,-2.65,10.0,74.75,83,100,6.67,overcast clouds
298,Guerrero Negro,MX,27.9769,-114.0611,73.63,65,0,17.11,clear sky
299,Am Timan,TD,11.0297,20.2827,69.22,98,95,4.9,overcast clouds
300,Nanortalik,GL,60.1432,-45.2371,46.13,79,89,9.31,overcast clouds
301,Saint-Denis,FR,48.9167,2.3333,53.15,69,0,4.61,clear sky
302,Keetmanshoop,NA,-26.5833,18.1333,60.21,36,35,9.26,scattered clouds
303,White Rock,CA,49.0164,-122.8026,69.94,67,100,8.01,overcast clouds
304,Metro,ID,-5.1131,105.3067,74.34,93,96,5.21,overcast clouds
305,Kisiwani,TZ,-4.1333,37.95,63.84,83,12,0.36,few clouds
306,Kamenka,RU,51.3223,42.7678,57.6,60,84,7.11,broken clouds
307,Syracuse,IT,37.0881,15.2792,76.37,73,28,4.85,scattered clouds
308,Moose Jaw,CA,50.4001,-105.5344,64.65,63,100,6.91,overcast clouds
309,Mocorito,MX,25.4833,-107.9167,95.27,55,28,9.51,scattered clouds
310,Tabou,CI,4.423,-7.3528,76.03,87,90,6.67,light rain
311,Morococha,PE,-11.5997,-76.1411,40.06,75,89,1.52,overcast clouds
312,Yining,CN,29.0361,114.5636,73.51,67,53,0.6,broken clouds
313,Tambo,PE,-14.8,-73.9167,37.72,42,0,7.38,clear sky
314,Tambacounda,SN,13.7539,-13.7586,77.09,92,50,5.97,light rain
