City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Culfa,AZ,2022-09-17 02:07:53,38.9558,45.6308,64.27,53,0,2.86
96,Quirinopolis,BR,2022-09-17 02:04:01,-18.4483,-50.4517,75.81,45,29,6.24
97,Aden,YE,2022-09-17 02:07:53,12.7794,45.0367,86.23,79,100,12.97
98,Bardiyah,LY,2022-09-17 02:07:53,31.7561,25.0865,71.17,63,0,2.93
99,Puerto Escondido,MX,2022-09-17 02:05:31,15.85,-97.0667,79.63,57,100,4.61
100,Vardo,NO,2022-09-17 02:07:54,70.3705,31.1107,46.38,100,100,27.63
101,Salalah,OM,2022-09-17 02:05:57,17.0151,54.0924,78.89,94,75,0.0
102,Sao Joao Do Paraiso,BR,2022-09-17 02:07:54,-15.3136,-42.0144,68.74,66,0,6.49
103,Jamestown,US,2022-09-17 02:06:19,42.097,-79.2353,64.04,76,0,0.0
104,Bredasdorp,ZA,2022-09-17 02:07:55,-34.5322,20.0403,52.03,92,56,3.29
105,Upington,ZA,2022-09-17 02:07:55,-28.4478,21.2561,62.87,40,98,4.38
106,Raga,SS,2022-09-17 02:07:56,8.4596,25.678,68.36,99,100,4.92
107,Geraldton,AU,2022-09-17 02:07:56,-28.7667,114.6,64.81,72,0,8.05
108,La Ronge,CA,2022-09-17 02:07:57,55.1001,-105.2842,56.75,58,95,7.72
109,Yumen,CN,2022-09-17 02:07:57,40.2833,97.2,65.62,25,0,10.83
110,Port Elizabeth,ZA,2022-09-17 02:05:01,-33.918,25.5701,60.31,84,100,1.99
111,Sabha,LY,2022-09-17 02:07:57,27.0377,14.4283,80.44,19,0,7.16
112,Mahebourg,MU,2022-09-17 02:07:58,-20.4081,57.7,70.25,78,40,13.8
113,Hofn,IS,2022-09-17 02:07:58,64.2539,-15.2082,48.02,66,98,6.42
114,Carnarvon,AU,2022-09-17 02:07:59,-24.8667,113.6333,71.22,42,0,10.8
115,Codrington,AU,2022-09-17 02:07:59,-38.2667,141.9667,53.19,87,100,23.09
116,Grindavik,IS,2022-09-17 02:08:00,63.8424,-22.4338,46.87,93,100,2.3
117,Huilong,CN,2022-09-17 02:08:00,31.8111,121.655,78.8,76,37,6.24
118,Hambantota,LK,2022-09-17 02:08:00,6.1241,81.1185,73.74,100,20,5.75
119,Vaini,TO,2022-09-17 02:08:01,-21.2,-175.2,80.76,78,75,4.61
120,Port Macquarie,AU,2022-09-17 02:08:01,-31.4333,152.9167,77.9,38,2,8.46
121,Nabire,ID,2022-09-17 02:08:02,-3.3667,135.4833,75.16,97,100,6.42
122,Le Port,RE,2022-09-17 02:08:02,-20.9373,55.2919,68.0,75,14,10.42
123,Pacific Grove,US,2022-09-17 02:06:00,36.6177,-121.9166,68.54,82,40,10.36
124,San Ramon,US,2022-09-17 02:06:05,37.7799,-121.978,71.73,65,0,13.8
125,Redlands,US,2022-09-17 02:07:10,34.0556,-117.1825,80.26,54,0,9.22
126,Lorengau,PG,2022-09-17 02:08:03,-2.0226,147.2712,86.14,58,42,9.01
127,Taltal,CL,2022-09-17 02:08:03,-25.4,-70.4833,54.37,83,32,2.24
128,Tuktoyaktuk,CA,2022-09-17 02:08:04,69.4541,-133.0374,39.61,80,97,4.12
129,Hobart,AU,2022-09-17 02:07:05,-42.8794,147.3294,60.06,67,75,9.22
130,Muros,ES,2022-09-17 02:08:04,42.7762,-9.0603,64.17,80,100,8.1
131,Smiths Falls,CA,2022-09-17 02:04:18,44.9001,-76.0161,54.55,71,83,4.83
132,Saint George,US,2022-09-17 02:08:05,37.1041,-113.5841,84.63,30,0,6.91
133,Wakkanai,JP,2022-09-17 02:08:05,45.4094,141.6739,66.45,75,100,4.76
